id,lat,lon,category
0,56.033695,88.350151,tundra
1,51.69381,89.953531,wetland
2,56.443694,100.490514,wetland
3,55.495418,88.444958,wetland
4,51.405018,95.074974,wetland
5,55.173696,98.024275,urban
6,53.614718,94.288927,tundra
7,57.903735,88.090983,forest
8,56.679533,92.763507,forest
9,51.368451,98.688918,wetland
10,50.020204,89.354029,tundra
11,55.640986,99.299796,agricultural
12,54.898509,101.623621,agricultural
13,49.866802,92.104496,urban
14,58.739969,93.06289,forest
15,56.75029,88.641541,forest
16,57.503752,101.793101,forest
17,58.53132,93.321767,agricultural
18,55.992529,93.107651,tundra
19,52.907978,97.382452,wetland
20,55.700441,90.395941,forest
21,50.797427,93.312376,urban
22,51.415767,92.539958,wetland
23,51.519529,88.449403,tundra
24,53.412813,88.92664,urban
25,58.640044,92.40549,agricultural
26,53.351951,100.803666,agricultural
27,50.571587,89.954824,urban
28,54.92875,98.458193,agricultural
29,58.876052,93.591607,forest
30,59.970584,89.936644,agricultural
31,50.000004,88.659629,wetland
32,50.681255,90.239748,agricultural
33,55.560499,93.386742,urban
34,59.957335,95.407601,urban
35,58.468577,88.160734,wetland
36,56.498814,95.517585,tundra
37,57.454586,92.762457,tundra
38,53.782418,94.352132,tundra
39,59.690769,98.667471,urban
40,59.038906,100.18726,tundra
41,58.258363,95.10728,forest
42,50.681232,98.675151,urban
43,59.488497,100.914077,wetland
44,55.58839,94.84048,wetland
45,59.220085,100.302106,tundra
46,51.633975,91.372202,urban
47,59.416444,89.199148,agricultural
48,57.976256,101.691783,urban
49,57.424179,89.797481,agricultural
50,59.415335,90.311777,urban
51,58.596763,93.923931,forest
52,59.218048,98.573713,forest
53,56.842439,93.585892,tundra
54,53.819101,95.246062,wetland
55,51.726962,88.896363,wetland
56,55.471396,91.221606,forest
57,49.079099,97.909773,wetland
58,51.51836,100.67588,tundra
59,49.779431,91.332065,agricultural
60,51.356605,89.852366,urban
61,55.338328,91.401961,agricultural
62,57.882467,90.665739,wetland
63,56.24881,92.960166,agricultural
64,54.137271,98.207062,wetland
65,49.666739,98.19499,wetland
66,51.73522,90.662925,agricultural
67,50.542005,90.568833,agricultural
68,51.747871,100.925718,agricultural
69,57.888245,99.983536,wetland
70,49.556472,101.989955,wetland
71,59.658959,100.969138,forest
72,50.829422,94.798976,forest
73,58.511154,100.6342,forest
74,53.168704,101.794324,tundra
75,59.191699,98.991811,tundra
76,53.653082,101.402447,urban
77,56.280584,94.8134,forest
78,52.263786,101.561931,urban
79,57.093109,88.853406,tundra
80,49.628818,96.178486,urban
81,59.113258,95.435766,wetland
82,59.568568,89.121561,forest
83,49.753735,88.951452,forest
84,53.441531,101.182346,urban
85,51.708369,96.323268,urban
86,49.901817,97.203224,urban
87,54.75061,101.085888,forest
88,56.366986,92.398574,tundra
89,53.353644,97.403663,tundra
90,54.02947,101.006257,wetland
91,49.10247,96.69623,urban
92,59.957061,89.02565,forest
93,54.564732,89.854392,tundra
94,58.689506,100.309783,tundra
95,52.134861,94.134584,urban
96,56.738939,96.563489,urban
97,49.086054,99.439458,tundra
98,59.249316,89.450211,forest
99,51.909125,100.455978,urban
100,50.709927,91.944588,forest
101,56.893734,90.850362,tundra
102,54.5595,91.515698,wetland
103,50.015283,93.930061,tundra
104,49.484954,92.669792,forest
105,56.008247,91.667374,agricultural
106,55.068485,93.987617,wetland
107,50.230613,101.230713,forest
108,55.001493,99.68433,urban
109,55.077776,94.017014,wetland
110,52.390842,100.585741,wetland
111,58.888171,90.941072,forest
112,56.336268,92.951501,urban
113,58.725482,93.689283,urban
114,57.244254,100.960694,forest
115,58.510663,101.666884,forest
