date,distance,temperature,station_id
2025-07-02,23.10,-22.0,STN_A
2025-01-18,24.70,28.0,STN_B
2025-01-04,49406.74,-6.0,STN_B
2025-01-09,49.00,-22.0,STN_B
,44739.65,29.0,STN_A
,46.10,11.0,STN_B
2025-11-11,28.60,12.0,STN_B
2025-07-26,2.20,,STN_A
,,-12.0,STN_B
2025-08-04,28.50,20.0,STN_A
,5793.62,25.0,STN_A
,27.80,,STN_A
2025-03-22,,-23.0,STN_A
2025-09-09,,,STN_A
2025-06-20,50855.14,6.0,STN_A
2025-12-11,26.50,,STN_B
2025-06-08,27680.65,18.0,STN_B
2025-09-27,,27.0,STN_B
,40.00,4.0,STN_A
2025-01-17,15.50,-25.0,STN_A
2025-09-18,11.30,-3.0,STN_A
2025-01-24,47.00,,STN_A
2025-02-02,28.30,28.0,STN_B
2025-01-13,20.10,11.0,STN_A
2025-10-02,41199.10,-11.0,STN_A
2025-01-13,2.50,-22.0,STN_B
,73707.77,-30.0,STN_B
2025-01-01,76282.72,17.0,STN_A
2025-11-28,,-14.0,STN_A
2025-10-28,46.70,5.0,STN_A
2025-05-04,40072.57,12.0,STN_A
,27519.71,-21.0,STN_B
2025-06-14,,15.0,STN_A
,38141.36,1.0,STN_A
,7.90,,STN_A
2025-01-28,29.40,-28.0,STN_A
2025-09-16,11.90,-12.0,STN_B
,33.50,18.0,STN_A
2025-03-19,39750.70,,STN_A
2025-06-08,42486.58,28.0,STN_A
2025-11-11,42647.51,-14.0,STN_B
2025-01-21,33.00,-6.0,STN_B
2025-01-16,1.30,-16.0,STN_B
2025-04-05,,-23.0,STN_B
2025-01-04,24.50,,STN_A
2025-03-19,,,STN_A
2025-01-06,28.60,16.0,STN_A
2025-01-16,,20.0,STN_A
2025-09-09,18.00,-26.0,STN_B
2025-02-01,46.00,8.0,STN_A
2025-10-20,27.00,,STN_A
2025-09-27,39.00,-7.0,STN_B
2025-01-26,40.40,,STN_A
2025-04-28,44.00,-30.0,STN_B
2025-01-01,55844.10,-24.0,STN_B
2025-01-09,31.00,-4.0,STN_B
2025-01-18,25749.44,-5.0,STN_A
2025-08-26,,-9.0,STN_B
2025-12-02,32.20,0.0,STN_B
,,29.0,STN_B
2025-05-23,41.00,-18.0,STN_A
2025-10-17,54717.56,-30.0,STN_A
2025-01-12,10.80,-26.0,STN_B
,41.00,-18.0,STN_B
2025-01-06,28.40,30.0,STN_B
,48.30,-15.0,STN_B
2025-10-28,14.00,-16.0,STN_A
2025-06-17,22369.83,,STN_A
,72098.43,,STN_A
2025-04-08,11.10,23.0,STN_A
2025-02-04,33.50,,STN_A
,49.30,1.0,STN_B
2025-04-25,,4.0,STN_B
2025-11-25,6.90,14.0,STN_A
2025-07-19,49889.54,,STN_A
,,14.0,STN_A
2025-05-15,49.00,16.0,STN_A
2025-07-07,37.00,-19.0,STN_B
,15.70,-27.0,STN_A
,32.00,-14.0,STN_A
2025-05-12,18.20,,STN_B
,25.00,-6.0,STN_A
2025-03-28,46.00,6.0,STN_A
,24622.90,-5.0,STN_B
2025-01-24,10.00,,STN_A
2025-12-24,20.50,,STN_B
2025-07-17,,,STN_B
,7.20,-29.0,STN_A
2025-01-28,70328.16,-22.0,STN_A
2025-01-21,51981.68,0.0,STN_A
,8.60,,STN_A
2025-01-01,24.40,21.0,STN_B
,,-15.0,STN_B
2025-04-09,12.70,13.0,STN_A
,42.80,,STN_B
2025-01-23,,,STN_A
,,-16.0,STN_A
2025-01-11,64695.47,20.0,STN_A
,4.00,,STN_B
2025-02-25,48.80,-28.0,STN_B
